Fecha,Sexo,Edad,Pasos diarios,Calorías quemadas,Horas de sueño,Calidad del sueño,Frecuencia cardíaca promedio,Nivel de estrés,Estado de ánimo
2024-05-30,Femenino,45,9735,3167,8.9,3,93,5,Neutral
2024-05-08,Femenino,59,5102,3291,5.5,2,68,10,Feliz
2024-01-03,Masculino,40,9600,3477,7.3,5,87,1,Relajado
2024-06-27,Masculino,22,5255,1878,5.4,4,67,3,Feliz
2024-02-07,Masculino,57,8465,2382,5.8,1,66,4,Estresado
2024-04-02,Femenino,59,5256,2709,6.5,2,86,4,Neutral
2024-03-16,Femenino,30,5985,2041,6.2,3,80,10,Relajado
2024-05-02,Femenino,57,14603,2716,5.3,1,77,8,Estresado
2024-05-29,Femenino,52,14096,2624,6.2,3,68,4,Neutral
2024-04-06,Masculino,51,8838,1831,6.8,1,66,1,Estresado
2024-03-22,Femenino,55,6234,1900,8.1,1,67,8,Relajado
2024-06-10,Masculino,32,3329,2065,5.3,3,93,5,Feliz
2024-03-25,Femenino,48,12524,1975,4.3,3,87,6,Neutral
2024-01-14,Masculino,40,3313,3003,8.6,4,91,3,Estresado
2024-02-15,Masculino,23,14832,2515,6.3,2,68,9,Relajado
2024-05-16,Masculino,25,14400,2091,6.5,1,74,3,Estresado
2024-02-05,Masculino,57,8477,2415,4.8,5,86,8,Estresado
2024-05-22,Femenino,30,10235,2736,7.5,5,68,9,Estresado
2024-05-13,Femenino,18,13416,2162,8.2,3,70,1,Feliz
2024-03-29,Masculino,28,12450,2907,7.5,5,62,8,Relajado
2024-03-27,Masculino,21,7873,3110,5.5,3,60,4,Neutral
2024-03-06,Masculino,33,8493,2952,8.2,1,96,6,Relajado
2024-06-14,Masculino,44,11662,2753,5.7,3,73,1,Neutral
2024-03-04,Masculino,48,14770,1993,8.3,1,66,5,Relajado
2024-03-17,Masculino,46,12123,3374,8.6,2,70,3,Relajado
2024-01-12,Femenino,20,3963,2142,5.2,3,79,1,Relajado
2024-05-05,Femenino,37,6083,2965,5.2,5,68,3,Neutral
2024-02-15,Femenino,48,12483,2721,5.1,1,77,9,Relajado
2024-01-14,Masculino,36,11199,3060,4.1,3,92,10,Feliz
2024-06-25,Femenino,43,10044,2641,4.1,3,61,3,Feliz
2024-03-05,Femenino,45,3719,2763,7.6,4,68,4,Relajado
2024-04-26,Masculino,30,13036,2671,5.6,3,97,2,Feliz
2024-06-14,Masculino,41,9567,2670,4.6,1,67,2,Feliz
2024-02-19,Femenino,18,14256,2100,8.7,1,92,10,Neutral
2024-04-02,Masculino,62,4816,1871,4.9,5,92,6,Neutral
2024-04-07,Masculino,19,7370,2127,4.5,3,89,3,Neutral
2024-06-04,Masculino,35,8054,3129,6.4,4,69,10,Estresado
2024-04-13,Femenino,49,9316,3043,8.2,1,76,2,Neutral
2024-05-26,Femenino,57,4429,2671,4.4,5,92,2,Estresado
2024-03-28,Masculino,42,8225,1813,8.8,3,85,7,Feliz
2024-04-18,Masculino,34,9632,2536,5.0,5,97,8,Neutral
2024-03-04,Masculino,34,5384,3367,4.2,1,70,10,Neutral
2024-04-10,Masculino,19,4866,1967,5.9,3,70,6,Estresado
2024-04-16,Femenino,55,7017,1964,4.1,5,76,10,Neutral
2024-05-30,Masculino,41,14349,3322,6.2,4,84,7,Estresado
2024-01-19,Masculino,50,10896,3107,6.8,4,98,8,Neutral
2024-05-22,Femenino,43,6430,3119,4.2,1,60,5,Neutral
2024-06-22,Masculino,41,6814,2260,4.4,5,93,10,Feliz
2024-06-20,Masculino,52,4850,2996,4.6,3,64,10,Neutral
2024-02-03,Femenino,47,6822,2904,5.4,5,84,2,Estresado
2024-05-21,Masculino,24,12601,2318,8.2,4,81,6,Relajado
2024-01-10,Femenino,59,4497,2944,4.1,1,85,9,Feliz
2024-06-24,Femenino,46,11755,2208,5.8,5,71,8,Neutral
2024-02-16,Masculino,33,9623,2533,5.2,2,94,5,Estresado
2024-01-11,Femenino,34,3492,2562,5.6,4,96,3,Neutral
2024-03-13,Masculino,53,4245,2959,5.0,1,67,5,Neutral
2024-01-28,Masculino,31,8240,3192,6.5,2,93,8,Estresado
2024-01-23,Masculino,50,14505,2443,4.2,4,78,4,Relajado
2024-06-13,Femenino,51,10769,3098,6.9,5,76,1,Relajado
2024-03-13,Masculino,21,9385,2485,4.7,4,85,10,Feliz
2024-06-25,Masculino,21,5111,2365,6.0,2,70,9,Feliz
2024-01-08,Femenino,43,7327,3291,6.1,1,85,1,Neutral
2024-01-18,Masculino,40,5159,3312,5.3,3,66,4,Estresado
2024-06-04,Femenino,35,8293,3281,4.4,1,90,8,Estresado
2024-02-07,Masculino,44,7776,3311,7.7,4,74,10,Feliz
2024-06-22,Masculino,43,12415,2086,7.0,2,88,6,Neutral
2024-01-19,Femenino,56,8533,2610,5.2,1,97,1,Neutral
2024-01-28,Femenino,54,11625,2310,7.1,4,74,4,Estresado
2024-02-06,Masculino,37,11238,1990,6.6,3,71,5,Estresado
2024-03-21,Femenino,52,11831,3098,8.3,4,81,7,Estresado
2024-03-22,Masculino,42,12187,2377,7.4,1,72,7,Feliz
2024-01-17,Femenino,33,10057,2083,7.1,5,73,1,Relajado
2024-05-02,Masculino,18,13214,3120,4.1,5,80,5,Neutral
2024-04-27,Masculino,55,5117,1899,6.4,4,75,2,Feliz
2024-06-15,Femenino,20,6604,2234,7.5,2,76,9,Relajado
2024-02-07,Masculino,22,9793,1994,8.5,1,72,8,Neutral
2024-04-23,Masculino,45,11604,2362,4.4,4,96,2,Relajado
2024-02-11,Femenino,32,5145,1915,4.9,2,96,1,Neutral
2024-05-14,Femenino,38,14010,2901,6.0,3,76,8,Relajado
2024-03-10,Masculino,54,4327,2126,4.5,4,73,4,Relajado
2024-02-17,Masculino,26,8330,3460,4.4,5,62,5,Relajado
2024-02-05,Femenino,24,13775,2469,6.7,1,80,2,Estresado
2024-06-24,Masculino,26,6007,3184,8.7,5,81,3,Estresado
2024-06-27,Masculino,49,6716,2618,5.9,1,94,4,Relajado
2024-03-23,Femenino,60,11208,3272,4.6,4,94,10,Feliz
2024-04-08,Masculino,41,10303,3044,6.1,1,90,2,Feliz
2024-05-28,Femenino,29,7734,3036,7.0,2,88,2,Feliz
2024-06-01,Masculino,37,5717,1837,8.2,1,75,7,Neutral
2024-05-25,Masculino,52,14584,3164,6.3,5,69,2,Neutral
2024-01-24,Masculino,52,7178,3371,6.0,3,99,6,Feliz
2024-04-20,Femenino,60,7933,2183,6.1,4,87,5,Relajado
2024-05-24,Femenino,34,6462,1911,8.3,4,76,2,Estresado
2024-05-21,Femenino,31,4946,1815,7.4,5,65,4,Estresado
2024-03-05,Masculino,47,11893,2003,6.5,3,94,6,Feliz
2024-06-28,Femenino,53,5063,1920,8.0,2,80,5,Neutral
2024-06-03,Femenino,51,13585,2051,6.0,5,66,4,Neutral
2024-04-15,Masculino,38,13644,2013,8.6,2,73,4,Relajado
2024-02-01,Masculino,20,13943,2814,6.5,4,66,9,Relajado
2024-06-17,Femenino,30,4404,2520,8.4,4,76,10,Neutral
2024-06-17,Masculino,62,6076,2885,9.0,4,97,8,Relajado
2024-05-16,Masculino,19,5663,1996,8.2,4,65,2,Estresado
2024-05-28,Masculino,27,3324,3250,5.8,5,63,3,Estresado
2024-01-20,Femenino,36,3584,2456,6.6,3,60,2,Feliz
2024-05-17,Femenino,51,9964,2002,4.6,5,88,8,Relajado
2024-06-03,Masculino,49,11141,1875,8.0,5,71,4,Relajado
2024-01-06,Masculino,47,7754,3250,4.2,5,67,5,Estresado
2024-05-02,Masculino,23,7041,2370,5.0,5,80,10,Neutral
2024-06-10,Femenino,61,9010,2470,8.9,2,94,9,Relajado
2024-04-09,Femenino,62,6422,2095,5.2,1,76,6,Neutral
2024-02-07,Femenino,53,7429,3426,7.7,3,93,5,Neutral
2024-03-08,Femenino,22,14183,3189,8.4,4,82,1,Neutral
2024-01-24,Masculino,63,10830,2616,7.4,1,79,1,Feliz
2024-02-09,Femenino,24,9652,2006,6.9,5,62,1,Neutral
2024-03-10,Masculino,30,13229,2620,7.4,4,65,1,Feliz
2024-05-16,Femenino,39,4517,3486,4.3,4,72,1,Neutral
2024-04-08,Masculino,33,7167,2787,6.4,2,67,3,Neutral
2024-05-11,Femenino,23,8283,1886,4.7,4,80,2,Relajado
2024-02-24,Femenino,28,5198,2365,4.7,1,66,10,Feliz
2024-03-20,Masculino,58,5023,2684,6.1,4,60,2,Feliz
2024-05-14,Masculino,42,9536,2890,4.7,5,72,3,Neutral
2024-01-09,Masculino,30,9709,2818,5.0,2,79,7,Neutral
2024-06-24,Masculino,45,9342,2519,4.7,4,92,6,Feliz
2024-05-11,Femenino,61,4034,1962,8.0,4,74,8,Neutral
2024-05-21,Femenino,44,8251,2628,8.9,5,83,7,Relajado
2024-03-14,Femenino,48,9497,1921,5.3,2,97,7,Feliz
2024-06-24,Masculino,64,13766,2085,7.1,4,75,4,Relajado
2024-01-03,Masculino,25,14914,2113,6.3,1,63,2,Relajado
2024-02-04,Femenino,31,5984,2524,7.6,4,76,4,Relajado
2024-02-14,Masculino,56,6480,1922,7.1,3,94,5,Neutral
2024-01-08,Masculino,35,9847,3248,6.8,3,68,7,Relajado
2024-02-26,Masculino,64,13479,2329,5.4,1,73,2,Relajado
2024-01-21,Masculino,49,9216,3018,4.3,3,86,3,Neutral
2024-01-12,Femenino,63,6113,3323,9.0,2,83,3,Neutral
2024-03-01,Masculino,40,5344,3094,7.6,5,72,2,Feliz
2024-04-12,Masculino,54,7544,3091,6.7,4,67,6,Relajado
2024-04-09,Masculino,21,8800,2628,6.6,2,64,1,Neutral
2024-02-19,Femenino,62,7168,2683,6.3,1,99,8,Neutral
2024-06-17,Masculino,30,4960,2973,4.2,1,65,7,Estresado
2024-06-26,Masculino,29,5186,2912,7.6,4,86,1,Relajado
2024-04-23,Masculino,54,6886,2767,4.2,1,63,9,Neutral
2024-04-20,Masculino,27,13014,2299,4.6,1,99,6,Neutral
2024-04-01,Femenino,54,4288,2434,6.8,3,80,10,Estresado
2024-05-07,Masculino,37,12900,3172,5.1,2,98,6,Estresado
2024-05-12,Masculino,45,7539,2451,5.0,5,87,6,Neutral
2024-06-11,Masculino,36,3516,3297,6.0,1,97,5,Feliz
2024-04-16,Femenino,36,5232,2206,7.5,2,93,1,Feliz
2024-04-04,Masculino,57,8251,2541,7.5,5,69,2,Relajado
2024-01-09,Femenino,55,8358,3257,4.4,4,85,1,Estresado
2024-01-24,Femenino,58,10646,3156,4.4,3,74,3,Relajado
2024-05-21,Masculino,62,5013,2809,6.6,5,98,5,Feliz
2024-05-17,Masculino,64,5314,2303,4.6,1,86,4,Feliz
2024-05-27,Masculino,24,12721,3083,8.4,2,69,5,Relajado
2024-01-01,Femenino,56,11273,2553,5.2,3,88,3,Neutral
2024-01-18,Femenino,22,14249,3191,4.0,5,80,10,Relajado
2024-05-30,Masculino,61,11737,3048,8.7,3,95,8,Estresado
2024-03-20,Masculino,59,4602,2151,7.8,2,92,3,Estresado
2024-01-13,Masculino,50,8213,2501,5.8,1,68,1,Neutral
2024-04-25,Femenino,42,7237,2878,5.0,3,94,5,Feliz
2024-06-22,Masculino,40,13288,2740,5.5,4,70,9,Relajado
2024-02-14,Femenino,60,14027,1813,4.0,3,60,9,Feliz
2024-04-07,Femenino,18,13671,3472,7.9,3,62,3,Estresado
2024-01-17,Femenino,27,3384,2285,6.7,1,82,1,Estresado
2024-01-26,Femenino,54,6322,3142,8.3,5,96,1,Neutral
2024-06-17,Femenino,59,10616,2194,8.8,3,90,5,Estresado
2024-05-24,Masculino,33,7713,2649,6.8,2,66,2,Relajado
2024-02-13,Masculino,35,9054,2324,4.4,5,70,8,Relajado
2024-03-14,Femenino,39,14869,1899,4.7,5,89,9,Neutral
2024-06-20,Femenino,43,5067,2961,8.4,2,80,2,Neutral
2024-06-05,Femenino,59,14118,3078,4.8,4,96,9,Estresado
2024-01-28,Femenino,28,3676,3276,6.6,3,84,4,Estresado
2024-06-11,Femenino,23,10053,2224,8.2,3,72,8,Neutral
2024-01-21,Masculino,63,13961,2027,7.3,2,82,2,Relajado
2024-04-07,Femenino,59,4033,3166,5.3,5,72,9,Relajado
2024-03-31,Femenino,33,8250,3409,7.9,5,85,6,Feliz
2024-05-09,Femenino,26,12964,2666,8.3,1,67,3,Feliz
2024-04-24,Femenino,24,4920,3482,5.7,3,70,10,Estresado
2024-05-20,Femenino,57,14859,3000,8.3,3,85,3,Relajado
2024-05-09,Femenino,30,9093,2945,6.7,5,67,1,Relajado
2024-04-14,Masculino,62,13676,2705,6.9,1,93,5,Relajado
2024-02-28,Masculino,52,4411,3150,5.2,5,78,7,Estresado
2024-05-09,Masculino,30,3387,1870,5.4,4,91,7,Feliz
2024-01-31,Masculino,42,14909,3105,5.5,4,68,2,Relajado
2024-01-05,Masculino,39,9904,2752,4.5,5,88,5,Relajado
2024-04-30,Masculino,42,13837,3274,4.8,2,62,6,Feliz
2024-04-24,Femenino,29,3007,3035,4.8,1,93,6,Neutral
2024-02-19,Masculino,21,13950,3304,8.3,3,60,2,Neutral
2024-02-19,Masculino,33,3547,3124,4.4,5,81,9,Feliz
2024-01-06,Masculino,35,12246,3363,6.6,2,67,9,Relajado
2024-03-20,Masculino,48,14838,3194,5.8,5,81,9,Relajado
2024-06-07,Masculino,55,12508,3269,7.1,2,76,4,Neutral
2024-02-17,Masculino,21,4186,2224,6.1,2,67,9,Estresado
2024-05-25,Femenino,57,7461,3412,7.0,2,67,6,Estresado
2024-06-17,Femenino,56,6409,3461,4.6,3,82,10,Feliz
2024-05-26,Femenino,58,9956,3437,7.2,4,99,4,Neutral
2024-05-05,Masculino,21,12730,3498,8.4,5,72,4,Estresado
2024-06-24,Masculino,46,3860,3050,7.4,5,70,8,Relajado
2024-03-20,Femenino,62,10247,2562,6.0,1,78,8,Feliz
2024-04-06,Masculino,23,7947,3296,6.0,2,74,4,Estresado
2024-01-18,Femenino,27,3855,3221,8.9,2,86,8,Feliz
2024-04-02,Masculino,45,4328,2143,4.4,3,82,6,Neutral
2024-06-12,Masculino,32,7817,3498,4.3,1,79,10,Relajado
2024-05-08,Femenino,49,5749,1845,5.6,1,96,8,Neutral
2024-03-03,Masculino,59,13157,2760,8.8,2,88,9,Estresado
2024-01-26,Masculino,39,11918,3207,5.1,1,71,6,Neutral
2024-01-28,Femenino,52,6706,2971,7.1,1,70,5,Relajado
2024-01-19,Masculino,52,10439,2691,8.5,2,78,3,Estresado
2024-01-20,Femenino,36,12917,2488,5.8,4,60,10,Feliz
2024-04-10,Femenino,20,11330,1898,7.0,3,86,9,Neutral
2024-05-13,Masculino,29,6148,2054,4.7,1,76,8,Neutral
2024-06-15,Masculino,36,6902,2986,7.8,1,65,10,Relajado
2024-03-30,Femenino,57,7428,3440,7.4,5,62,6,Estresado
2024-04-08,Masculino,27,3949,3366,8.0,3,73,2,Estresado
2024-01-04,Masculino,40,3578,2247,4.8,1,94,2,Relajado
2024-06-01,Femenino,33,5557,2002,8.6,2,86,6,Feliz
2024-03-08,Femenino,57,7424,3032,7.1,2,63,8,Estresado
2024-01-11,Masculino,30,3836,2164,6.0,2,90,8,Relajado
2024-05-24,Masculino,57,14381,3370,8.3,2,96,6,Neutral
2024-02-07,Femenino,55,13579,1912,4.5,4,72,7,Neutral
2024-06-11,Femenino,21,7314,2869,7.9,4,64,4,Feliz
2024-01-05,Masculino,26,13454,3410,8.3,5,98,7,Feliz
2024-05-28,Femenino,21,3507,2811,9.0,5,96,2,Neutral
2024-01-23,Masculino,50,10590,2193,5.0,5,89,9,Estresado
2024-04-06,Femenino,28,10676,3059,5.1,3,94,3,Neutral
2024-03-31,Femenino,32,10936,2916,5.2,2,75,1,Relajado
2024-02-11,Masculino,51,6646,3258,6.8,3,87,1,Relajado
2024-02-21,Masculino,50,13992,2712,5.4,1,61,8,Estresado
2024-04-28,Femenino,18,10041,3137,4.4,2,69,6,Relajado
2024-01-10,Femenino,19,10090,3060,8.9,4,85,5,Relajado
2024-05-03,Masculino,30,5808,3191,7.8,2,90,3,Estresado
2024-04-28,Masculino,30,14290,1815,4.4,5,71,7,Relajado
2024-04-20,Femenino,46,4600,2260,6.9,4,98,2,Relajado
2024-02-03,Femenino,33,6746,3059,6.3,4,99,4,Relajado
2024-01-21,Masculino,59,4999,3224,7.7,4,68,10,Neutral
2024-04-17,Masculino,43,13713,2362,6.0,1,87,2,Estresado
2024-03-07,Femenino,36,6968,3026,8.2,1,90,10,Feliz
2024-02-28,Femenino,33,9620,3030,7.8,3,82,4,Relajado
2024-04-16,Masculino,61,5473,2636,5.3,2,98,6,Relajado
2024-04-16,Masculino,46,4292,2976,9.0,5,78,8,Feliz
2024-05-23,Masculino,46,6822,2347,5.4,2,60,8,Feliz
2024-06-01,Masculino,55,8395,2150,5.5,3,61,3,Neutral
2024-03-19,Masculino,53,10088,2966,7.6,5,70,5,Estresado
2024-02-07,Masculino,37,9609,2377,6.6,3,67,3,Neutral
2024-04-21,Femenino,52,10141,1800,7.7,5,70,6,Estresado
2024-05-13,Femenino,52,11295,3464,6.5,4,66,5,Relajado
2024-03-02,Femenino,39,4293,2085,8.6,5,97,3,Neutral
2024-06-12,Masculino,38,10227,1996,7.1,1,72,7,Relajado
2024-04-12,Femenino,49,4600,3213,6.8,4,61,4,Neutral
2024-02-18,Masculino,47,12115,1911,6.7,1,85,4,Relajado
2024-05-29,Masculino,40,14863,2309,4.6,1,68,10,Neutral
2024-04-19,Femenino,30,7952,2534,8.2,1,99,9,Neutral
2024-02-09,Masculino,55,7932,2899,6.5,5,73,10,Neutral
2024-06-07,Femenino,37,8785,1845,5.3,5,97,5,Relajado
2024-05-22,Femenino,42,14409,2139,7.3,2,99,7,Relajado
2024-04-02,Masculino,22,9022,3471,7.3,5,75,10,Neutral
2024-04-24,Masculino,35,7121,2107,6.1,2,72,8,Relajado
2024-06-03,Masculino,40,10895,1860,7.7,1,76,2,Relajado
2024-05-19,Femenino,33,6228,1997,5.5,3,71,4,Estresado
2024-06-14,Masculino,50,14705,2857,7.5,2,85,5,Estresado
2024-03-30,Femenino,39,13241,1821,7.0,1,83,3,Estresado
2024-05-27,Masculino,55,11029,2088,5.1,4,95,2,Relajado
2024-02-02,Femenino,45,8716,2943,7.0,1,89,1,Estresado
2024-03-23,Masculino,53,10918,2144,6.2,5,90,3,Relajado
2024-02-25,Masculino,31,14920,2019,5.7,4,83,3,Estresado
2024-05-25,Femenino,39,11750,2873,5.2,2,89,5,Relajado
2024-03-23,Masculino,23,11521,2393,8.3,3,95,8,Feliz
2024-06-18,Femenino,61,9782,3326,5.6,4,86,7,Relajado
2024-01-27,Femenino,59,8190,3069,8.4,4,63,3,Feliz
2024-04-29,Masculino,31,11148,1819,5.1,3,89,10,Neutral
2024-06-10,Masculino,44,13491,1961,8.2,4,84,8,Neutral
2024-02-15,Femenino,54,6357,3346,8.5,5,62,5,Feliz
2024-02-23,Masculino,28,14800,1954,6.2,1,92,4,Feliz
2024-03-11,Masculino,19,8153,2960,8.7,5,93,5,Feliz
2024-03-25,Femenino,53,12473,2919,8.5,1,86,5,Estresado
2024-02-20,Masculino,35,9416,2523,4.3,1,70,6,Feliz
2024-04-04,Masculino,41,7917,2650,7.1,4,94,9,Estresado
2024-04-07,Femenino,23,11206,3329,4.2,3,72,7,Neutral
2024-02-12,Femenino,29,12837,2529,5.4,1,73,5,Feliz
2024-04-14,Femenino,50,10132,2960,4.6,4,69,7,Feliz
2024-06-08,Masculino,50,6631,2708,7.6,3,65,6,Neutral
2024-06-05,Femenino,60,5508,2709,7.2,3,89,3,Feliz
2024-06-24,Femenino,26,6483,2747,8.1,4,90,3,Estresado
2024-04-23,Femenino,26,6713,2883,8.2,5,86,9,Neutral
2024-04-24,Masculino,26,6208,3100,5.0,4,66,1,Estresado
2024-03-25,Femenino,48,12986,3100,7.5,1,72,8,Feliz
2024-01-09,Masculino,55,14812,2302,8.0,1,80,3,Estresado
2024-03-19,Masculino,36,8207,2917,7.3,4,80,3,Relajado
2024-04-25,Femenino,32,9255,2092,6.1,5,68,6,Relajado
2024-03-05,Masculino,37,8897,2245,6.1,5,72,10,Estresado
2024-01-15,Femenino,42,6033,3212,5.5,3,94,4,Estresado
2024-05-30,Masculino,24,11876,2927,8.7,2,76,3,Feliz
2024-03-21,Femenino,19,10107,1950,4.1,3,83,7,Feliz
2024-05-07,Femenino,32,12140,3165,8.7,2,63,3,Estresado
